country_name,country_code,indicator_name,indicator_code,year16
Tunisia,TUN,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,9201250000
Turkey,TUR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,98002000000
Turkmenistan,TKM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,150776000
Uganda,UGA,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,4077191000
Ukraine,UKR,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,20945903000
"Upper middle income",UMC,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,1430000000000
Uzbekistan,UZB,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,3686364000
Vanuatu,VUT,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,83727000
"Venezuela, RB",VEN,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,30779614000
Vietnam,VNM,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,21158120000
"Yemen, Rep.",YEM,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,3283393000
Zambia,ZMB,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,3000000000
Zimbabwe,ZWE,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2985208000
