country_name,country_code,indicator_name,indicator_code,year16,Percent_Of_Tot_Debt,Tot_Debt
Mongolia,MNG,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2266249000,9.4773,23912336000
"Iran, Islamic Rep.",IRN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,492367000,9.1547,5378273000
Mauritius,MUS,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1600692000,8.9165,17952076000
"Papua New Guinea",PNG,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1702524000,8.6473,19688489000
"Europe & Central Asia",ECA,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,129000000000,8.4868,1520000000000
"East Asia & Pacific ",EAP,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,190000000000,8.2251,2310000000000
"Venezuela, RB",VEN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,8753847000,7.7468,113000000000
Turkey,TUR,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,30929350000,7.6181,406000000000
Brazil,BRA,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,40729027000,7.5007,543000000000
Mexico,MEX,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,31163553000,7.3673,423000000000
Bulgaria,BGR,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2816688000,7.1027,39656828000
"Upper middle income",UMC,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,344000000000,6.9076,4980000000000
Panama,PAN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,4765757000,5.3253,89492146000
Kazakhstan,KAZ,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,7990904000,4.8725,164000000000
Thailand,THA,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,5482951000,4.5314,121000000000
Lebanon,LBN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1253019000,3.9205,31960710000
China,CHN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,51189657000,3.5797,1430000000000
"South Africa",ZAF,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,4076092000,2.7918,146000000000
Malaysia,MYS,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1557230000,0.7786,200000000000
"Russian Federation",RUS,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2123770000,0.4045,525000000000
