Country Name,Country Code,Indicator Name,Indicator Code,Year70,Year71,Year72,Year73,Year74,Year75,Year76,Year77,Year78,Year79,Year80,Year81,Year82,Year83,Year84,Year85,Year86,Year87,Year88,Year89,Year90,Year91,Year92,Year93,Year94,Year95,Year96,Year97,Year98,Year99,Year00,Year01,Year02,Year03,Year04,Year05,Year06,Year07,Year08,Year09,Year10,Year11,Year12,Year13,Year14,Year15,Year16
Albania,ALB,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79327000,82114000,477023000,556377000,567342000,593013000,522063000,631446000,611378000
Albania,ALB,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4795000,5013000,5155000,5338000,4644000,4942000,4239000,4253000,4337000,5528000,6569000,6987000,5968000,6569000,7355000,333511000,654675000,553816000,490542000,434279000,461723000,388862000,345096000,329299000
Albania,ALB,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587000,17107000,24297000,25699000,50619000,59478000,66964000,272301000,265137000,289905000
Albania,ALB,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037000,27637000,64738000,108992000,137216000,148150000,220080000,296335000,345747000,366122000,475754000,583261000,676602000,655409000,728673000,803139000,817396000,849414000,849743000,858818000,874009000,871029000,813581000,754393000,701024000
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,939559000,1260811000,1549797000,2991380000,3365978000,4632813000,6114380000,10598950000,15733603000,18505558000,19363274000,18370310000,17639482000,16367460000,15890301000,18260736000,22649742000,24448828000,26101338000,27248507000,28153909000,28489963000,27351236000,26274671000,30241912000,33051440000,33653884000,30902557000,30692715000,28206747000,25476934000,22763886000,23045302000,23774850000,22426650000,17092402000,5910801000,6134509000,6246392000,7420897000,7260316000,6064669000,5515626000,5245583000,5521298000,4671372000,5466348000
Algeria,DZA,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,4605000,4896000,2758000,51563000,51093000,112286000,113821000,184060000,317090000,397768000,409686000,364792000,296541000,258296000,231644000,679620000,777435000,823369000,1168727000,1347331000,1420035000,1436054000,1280564000,645115000,260679000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,20000000,86478000,220544000,1152657000,1159391000,1708578000,2263470000,2869358000,4836952000,5555854000,5502930000,4741058000,4428421000,4298482000,3917849000,4246816000,5850758000,7001748000,7579522000,6763253000,5851318000,4823361000,5118912000,4671201000,4625540000,4529118000,4170460000,3780364000,3440253000,3094456000,2508354000,2025710000,2032072000,1802515000,1472813000,1054055000,77026000,93504000,101929000,96496000,79849000,67909000,58669000,31625000,22436000,14525000,10095000
Algeria,DZA,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,15814000,13215000,10391000,7503000,6423000,36279000,84972000,137635000,187216000,227011000,252522000,274909000,279870000,323309000,284402000,479482000,693242000,924060000,895204000,960141000,1207954000,1412632000,1473697000,1511735000,1708657000,2049331000,1939124000,1795369000,1676442000,1539516000,1424572000,1328544000,1202928000,1056099000,909342000,778821000,118585000,112701000,10536000,9701000,9170000,8328000,7182000,1930000,1519000,1117000,725000
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7288778000,8591892000,9000343000,10059205000,10571380000,11292746000,11502046000,10545818000,9948271000,10784070000,10673235000,9763470000,8776913000,9109540000,9099853000,9786023000,12223964000,9890494000,11931682000,15501573000,17014272000,16949092000,19298252000,21106468000,25003929000,28902789000,27991041000,35364607000
Angola,AGO,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,1000000000,1000000000,1000000000,2500000000,2500000000
Angola,AGO,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134228000,142929000,150953000,164417000,182256000,562533000,872780000,4014518000,3526854000,2648209000,2765530000,2625352000,2678678000,2597937000,2883775000,3496155000,5072550000,3937957000,5257784000,7798505000,7946498000,6246848000,6714106000,6468538000,8330871000,9942746000,8377831000,7130788000
Angola,AGO,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000000,450000000
