country_name,country_code,indicator_name,indicator_code,year16,,,,,,
Djibouti,DJI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1607900000,,,,,,
Djibouti,DJI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1607900000,,,,,,
Dominica,DMA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,264084000,,,,,,
Dominica,DMA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,264084000,,,,,,
Dominican Republic,DOM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,24976264000,,,,,,
East Asia & Pacific ,EAP,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.28E+12,,,,,,
East Asia & Pacific ,EAP,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.28E+12,,,,,,
Ecuador,ECU,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,32402502000,,,,,,
"Egypt, Arab Rep.",EGY,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,51412618000,,,,,,
El Salvador,SLV,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,12640414000,,,,,,
Eritrea,ERI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,748412000,,,,,,
Eritrea,ERI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,748412000,,,,,,
Ethiopia,ETH,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,21802565000,,,,,,
Ethiopia,ETH,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,21802565000,,,,,,
Europe & Central Asia,ECA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.28E+12,,,,,,
Europe & Central Asia,ECA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.28E+12,,,,,,
Fiji,FJI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,679069000,,,,,,
Gabon,GAB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,4614496000,,,,,,
Gabon,GAB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,4614496000,,,,,,
"Gambia, The",GMB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,407001000,,,,,,
"Gambia, The",GMB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,407001000,,,,,,
Georgia,GEO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,13321897000,,,,,,
Ghana,GHA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,17235459000,,,,,,
Grenada,GRD,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1205034000,,,,,,
Guatemala,GTM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,20057922000,,,,,,
Guinea,GIN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,908640000,,,,,,
Guinea,GIN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,908640000,,,,,,
Guinea-Bissau,GNB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,219907000,,,,,,
Guinea-Bissau,GNB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,219907000,,,,,,
Guinea-Bissau,GNB,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,219907000,,,,,,
Guyana,GUY,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1283481000,,,,,,
Haiti,HTI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1941170000,,,,,,
